,Model,Details,Scaler,Feature selection,No. features,RMSE,R-squared (training),R-squared (test)
47,HistGradientBoostingRegressor,"max_iter=500, learning_rate=0.2, max_depth=5, min_leaf=2",StandardScaler,UFS (f-regression),35,146082.91,0.952,0.861
48,HistGradientBoostingRegressor,"max_iter=500, learning_rate=0.2, max_depth=5, min_leaf=2",MinMaxScaler,UFS (f-regression),35,146082.91,0.952,0.861
49,HistGradientBoostingRegressor,"max_iter=500, learning_rate=0.2, max_depth=5, min_leaf=2",RobustScaler,UFS (f-regression),35,146082.91,0.952,0.861
50,HistGradientBoostingRegressor,"max_iter=500, learning_rate=0.2, max_depth=5, min_leaf=15",StandardScaler,UFS (f-regression),35,146954.193,0.948,0.859
51,HistGradientBoostingRegressor,"max_iter=500, learning_rate=0.2, max_depth=5, min_leaf=15",MinMaxScaler,UFS (f-regression),35,146954.193,0.948,0.859
52,HistGradientBoostingRegressor,"max_iter=500, learning_rate=0.2, max_depth=5, min_leaf=15",RobustScaler,UFS (f-regression),35,146954.193,0.948,0.859
53,HistGradientBoostingRegressor,"max_iter=500, learning_rate=0.2, max_depth=5, min_leaf=15, max_leaf_nodes=15",StandardScaler,UFS (f-regression),35,149569.014,0.94,0.854
54,HistGradientBoostingRegressor,"max_iter=500, learning_rate=0.2, max_depth=5, min_leaf=15, max_leaf_nodes=15",RobustScaler,UFS (f-regression),35,149569.014,0.94,0.854
55,HistGradientBoostingRegressor,"max_iter=500, learning_rate=0.2, max_depth=5, min_leaf=15, max_leaf_nodes=15",MinMaxScaler,UFS (f-regression),35,149569.014,0.94,0.854
56,HistGradientBoostingRegressor,"max_iter=500, learning_rate=0.2, max_depth=5, min_leaf=2",RobustScaler,UFS (f-regression),30,153123.795,0.931,0.847
57,HistGradientBoostingRegressor,"max_iter=500, learning_rate=0.2, max_depth=5, min_leaf=2",StandardScaler,UFS (f-regression),30,153123.795,0.931,0.847
58,HistGradientBoostingRegressor,"max_iter=500, learning_rate=0.2, max_depth=5, min_leaf=2",MinMaxScaler,UFS (f-regression),30,153123.795,0.931,0.847
59,HistGradientBoostingRegressor,"max_iter=500, learning_rate=0.2, max_depth=5, min_leaf=2",StandardScaler,UFS (f-regression),25,156941.483,0.925,0.84
60,HistGradientBoostingRegressor,"max_iter=500, learning_rate=0.2, max_depth=5, min_leaf=2",MinMaxScaler,UFS (f-regression),25,156941.483,0.925,0.84
61,HistGradientBoostingRegressor,"max_iter=500, learning_rate=0.2, max_depth=5, min_leaf=2",RobustScaler,UFS (f-regression),25,156941.483,0.925,0.84
62,HistGradientBoostingRegressor,"max_iter=500, learning_rate=0.2, max_depth=5, min_leaf=2",StandardScaler,Variance threshold,30,158279.036,0.952,0.837
63,HistGradientBoostingRegressor,"max_iter=500, learning_rate=0.2, max_depth=5, min_leaf=2",RobustScaler,Variance threshold,30,158279.036,0.952,0.837
64,HistGradientBoostingRegressor,"max_iter=500, learning_rate=0.2, max_depth=5, min_leaf=2",MinMaxScaler,Variance threshold,30,158279.036,0.952,0.837
65,HistGradientBoostingRegressor,"max_iter=500, learning_rate=0.2, max_depth=5, min_leaf=2",MinMaxScaler,Variance threshold,24,160527.037,0.953,0.832
66,HistGradientBoostingRegressor,"max_iter=500, learning_rate=0.2, max_depth=5, min_leaf=2",RobustScaler,Variance threshold,24,160527.037,0.953,0.832
67,HistGradientBoostingRegressor,"max_iter=500, learning_rate=0.2, max_depth=5, min_leaf=2",StandardScaler,Variance threshold,24,160527.037,0.953,0.832
68,HistGradientBoostingRegressor,"max_iter=500, learning_rate=0.2, max_depth=5, min_leaf=15, max_leaf_nodes=15",RobustScaler,UFS (f-regression),20,160667.397,0.894,0.832
69,HistGradientBoostingRegressor,"max_iter=500, learning_rate=0.2, max_depth=5, min_leaf=15, max_leaf_nodes=15",StandardScaler,UFS (f-regression),20,160667.397,0.894,0.832
70,HistGradientBoostingRegressor,"max_iter=500, learning_rate=0.2, max_depth=5, min_leaf=15, max_leaf_nodes=15",MinMaxScaler,UFS (f-regression),20,160667.397,0.894,0.832
71,HistGradientBoostingRegressor,"max_iter=500, learning_rate=0.2, max_depth=5, min_leaf=2",MinMaxScaler,Variance threshold,26,160825.246,0.946,0.832
72,HistGradientBoostingRegressor,"max_iter=500, learning_rate=0.2, max_depth=5, min_leaf=2",RobustScaler,Variance threshold,26,160825.246,0.946,0.832
73,HistGradientBoostingRegressor,"max_iter=500, learning_rate=0.2, max_depth=5, min_leaf=2",StandardScaler,Variance threshold,26,160825.246,0.946,0.832
74,HistGradientBoostingRegressor,"max_iter=500, learning_rate=0.2, max_depth=5, min_leaf=15, max_leaf_nodes=15",RobustScaler,UFS (f-regression),25,160903.075,0.904,0.832
75,HistGradientBoostingRegressor,"max_iter=500, learning_rate=0.2, max_depth=5, min_leaf=15, max_leaf_nodes=15",MinMaxScaler,UFS (f-regression),25,160903.075,0.904,0.832
76,HistGradientBoostingRegressor,"max_iter=500, learning_rate=0.2, max_depth=5, min_leaf=15, max_leaf_nodes=15",StandardScaler,UFS (f-regression),25,160903.075,0.904,0.832
77,HistGradientBoostingRegressor,"max_iter=500, learning_rate=0.2, max_depth=5, min_leaf=2",MinMaxScaler,Variance threshold,18,161012.446,0.946,0.831
78,HistGradientBoostingRegressor,"max_iter=500, learning_rate=0.2, max_depth=5, min_leaf=2",StandardScaler,Variance threshold,18,161012.446,0.946,0.831
79,HistGradientBoostingRegressor,"max_iter=500, learning_rate=0.2, max_depth=5, min_leaf=2",RobustScaler,Variance threshold,18,161012.446,0.946,0.831
80,HistGradientBoostingRegressor,"max_iter=500, learning_rate=0.2, max_depth=5, min_leaf=15, max_leaf_nodes=15",RobustScaler,UFS (f-regression),30,161018.548,0.899,0.831
81,HistGradientBoostingRegressor,"max_iter=500, learning_rate=0.2, max_depth=5, min_leaf=15, max_leaf_nodes=15",MinMaxScaler,UFS (f-regression),30,161018.548,0.899,0.831
82,HistGradientBoostingRegressor,"max_iter=500, learning_rate=0.2, max_depth=5, min_leaf=15, max_leaf_nodes=15",StandardScaler,UFS (f-regression),30,161018.548,0.899,0.831
83,HistGradientBoostingRegressor,"max_iter=500, learning_rate=0.2, max_depth=5, min_leaf=15, max_leaf_nodes=15",MinMaxScaler,Variance threshold,26,161179.829,0.933,0.831
84,HistGradientBoostingRegressor,"max_iter=500, learning_rate=0.2, max_depth=5, min_leaf=15, max_leaf_nodes=15",RobustScaler,Variance threshold,26,161179.829,0.933,0.831
85,HistGradientBoostingRegressor,"max_iter=500, learning_rate=0.2, max_depth=5, min_leaf=15, max_leaf_nodes=15",StandardScaler,Variance threshold,26,161179.829,0.933,0.831
86,HistGradientBoostingRegressor,"max_iter=500, learning_rate=0.2, max_depth=5, min_leaf=15, max_leaf_nodes=15",RobustScaler,Variance threshold,30,161179.829,0.933,0.831
87,HistGradientBoostingRegressor,"max_iter=500, learning_rate=0.2, max_depth=5, min_leaf=15, max_leaf_nodes=15",MinMaxScaler,Variance threshold,30,161179.829,0.933,0.831
88,HistGradientBoostingRegressor,"max_iter=500, learning_rate=0.2, max_depth=5, min_leaf=15, max_leaf_nodes=15",StandardScaler,Variance threshold,30,161179.829,0.933,0.831
89,HistGradientBoostingRegressor,"max_iter=500, learning_rate=0.2, max_depth=5, min_leaf=15",MinMaxScaler,UFS (f-regression),30,161331.775,0.912,0.831
90,HistGradientBoostingRegressor,"max_iter=500, learning_rate=0.2, max_depth=5, min_leaf=15",RobustScaler,UFS (f-regression),30,161331.775,0.912,0.831
91,HistGradientBoostingRegressor,"max_iter=500, learning_rate=0.2, max_depth=5, min_leaf=15",StandardScaler,UFS (f-regression),30,161331.775,0.912,0.831
92,HistGradientBoostingRegressor,"max_iter=500, learning_rate=0.2, max_depth=5, min_leaf=15, max_leaf_nodes=15",MinMaxScaler,Variance threshold,19,161401.394,0.937,0.83
93,HistGradientBoostingRegressor,"max_iter=500, learning_rate=0.2, max_depth=5, min_leaf=15, max_leaf_nodes=15",StandardScaler,Variance threshold,19,161401.394,0.937,0.83
94,HistGradientBoostingRegressor,"max_iter=500, learning_rate=0.2, max_depth=5, min_leaf=15, max_leaf_nodes=15",RobustScaler,Variance threshold,19,161401.394,0.937,0.83
95,HistGradientBoostingRegressor,"max_iter=500, learning_rate=0.2, max_depth=2, min_leaf=2",RobustScaler,Variance threshold,24,161537.796,0.89,0.83
96,HistGradientBoostingRegressor,"max_iter=500, learning_rate=0.2, max_depth=2, min_leaf=2",MinMaxScaler,Variance threshold,24,161537.796,0.89,0.83
97,HistGradientBoostingRegressor,"max_iter=500, learning_rate=0.2, max_depth=2, min_leaf=2",StandardScaler,Variance threshold,24,161537.796,0.89,0.83
98,HistGradientBoostingRegressor,"max_iter=500, learning_rate=0.2, max_depth=2, min_leaf=2",MinMaxScaler,Variance threshold,19,161584.594,0.89,0.83
99,HistGradientBoostingRegressor,"max_iter=500, learning_rate=0.2, max_depth=2, min_leaf=2",RobustScaler,Variance threshold,19,161584.594,0.89,0.83
100,HistGradientBoostingRegressor,"max_iter=500, learning_rate=0.2, max_depth=2, min_leaf=2",StandardScaler,Variance threshold,19,161584.594,0.89,0.83
