,Model,Details,Scaler,Feature selection,No. features,RMSE,R-squared (training),R-squared (test)
50,LGBMRegressor,"n_estimators=500, learning_rate=0.2, max_depth=5, num_leaves=10",RobustScaler,Variance threshold,30,157932.652,0.956,0.838
51,LGBMRegressor,"n_estimators=500, learning_rate=0.2, max_depth=5, num_leaves=31",RobustScaler,UFS (f-regression),25,158280.579,0.962,0.837
52,LGBMRegressor,"n_estimators=500, learning_rate=0.2, max_depth=5, num_leaves=31",StandardScaler,Variance threshold,24,158284.04,0.974,0.837
53,LGBMRegressor,"n_estimators=500, learning_rate=0.2, max_depth=5, num_leaves=10",MinMaxScaler,Variance threshold,24,158606.302,0.956,0.836
54,LGBMRegressor,"n_estimators=500, learning_rate=0.2, max_depth=5, num_leaves=31",MinMaxScaler,Variance threshold,30,158846.662,0.974,0.836
55,LGBMRegressor,"n_estimators=500, learning_rate=0.2, max_depth=5, num_leaves=31",RobustScaler,Variance threshold,30,158934.96,0.973,0.836
56,LGBMRegressor,"n_estimators=500, learning_rate=0.2, max_depth=5, num_leaves=31",RobustScaler,Variance threshold,26,159010.948,0.973,0.835
57,LGBMRegressor,"n_estimators=500, learning_rate=0.2, max_depth=5, num_leaves=31",MinMaxScaler,Variance threshold,26,159195.098,0.974,0.835
58,LGBMRegressor,"n_estimators=500, learning_rate=0.2, max_depth=5, num_leaves=31",StandardScaler,Variance threshold,26,159345.138,0.973,0.835
59,LGBMRegressor,"n_estimators=500, learning_rate=0.2, max_depth=5, num_leaves=31",StandardScaler,UFS (f-regression),20,159594.717,0.959,0.834
60,LGBMRegressor,"n_estimators=500, learning_rate=0.2, max_depth=5, num_leaves=31",MinMaxScaler,UFS (f-regression),20,160029.514,0.96,0.833
61,LGBMRegressor,"n_estimators=500, learning_rate=0.2, max_depth=5, num_leaves=31",StandardScaler,Variance threshold,30,160138.192,0.973,0.833
62,LGBMRegressor,"n_estimators=500, learning_rate=0.2, max_depth=5, num_leaves=31",MinMaxScaler,Variance threshold,19,160152.143,0.973,0.833
63,LGBMRegressor,"n_estimators=500, learning_rate=0.2, max_depth=5, num_leaves=10",MinMaxScaler,Variance threshold,26,160329.587,0.956,0.833
64,LGBMRegressor,"n_estimators=500, learning_rate=0.2, max_depth=5, num_leaves=10",MinMaxScaler,Variance threshold,30,160329.587,0.956,0.833
65,LGBMRegressor,"n_estimators=500, learning_rate=0.2, max_depth=5, num_leaves=10",MinMaxScaler,Variance threshold,19,160374.243,0.956,0.833
66,LGBMRegressor,"n_estimators=500, learning_rate=0.2, max_depth=5, num_leaves=10",RobustScaler,Variance threshold,18,160852.24,0.953,0.832
67,LGBMRegressor,"n_estimators=500, learning_rate=0.2, max_depth=5, num_leaves=31",RobustScaler,Variance threshold,19,160977.413,0.973,0.831
68,LGBMRegressor,"n_estimators=500, learning_rate=0.2, max_depth=5, num_leaves=10",StandardScaler,Variance threshold,18,160982.469,0.954,0.831
69,LGBMRegressor,"n_estimators=500, learning_rate=0.2, max_depth=5, num_leaves=10",MinMaxScaler,Variance threshold,18,161184.978,0.954,0.831
