,Model,Details,Scaler,Feature selection,No. features,RMSE,R-squared (training),R-squared (test)
40,RandomForestRegressor,"n_estimators=100, max_depth=10, min_samples_split=4, min_samples_leaf=15",RobustScaler,UFS (f-regression),35,177771.663,0.857,0.794
117,RandomForestRegressor,"n_estimators=150, max_depth=30, min_samples_split=5, min_samples_leaf=5",StandardScaler,UFS (f-regression),10,177857.169,0.905,0.794
118,RandomForestRegressor,"n_estimators=150, max_depth=30, min_samples_split=5, min_samples_leaf=5",MinMaxScaler,UFS (f-regression),10,177903.114,0.905,0.794
119,RandomForestRegressor,"n_estimators=150, max_depth=30, min_samples_split=5, min_samples_leaf=5",RobustScaler,UFS (f-regression),10,177926.161,0.905,0.794
38,RandomForestRegressor,"n_estimators=100, max_depth=10, min_samples_split=4, min_samples_leaf=15",StandardScaler,UFS (f-regression),35,177975.788,0.857,0.794
70,RandomForestRegressor,"n_estimators=100, max_depth=30, min_samples_split=5, min_samples_leaf=5",StandardScaler,UFS (f-regression),10,178139.356,0.905,0.793
71,RandomForestRegressor,"n_estimators=100, max_depth=30, min_samples_split=5, min_samples_leaf=5",MinMaxScaler,UFS (f-regression),10,178161.86,0.905,0.793
72,RandomForestRegressor,"n_estimators=100, max_depth=30, min_samples_split=5, min_samples_leaf=5",RobustScaler,UFS (f-regression),10,178206.889,0.905,0.793
116,RandomForestRegressor,"n_estimators=150, max_depth=30, min_samples_split=5, min_samples_leaf=5",RobustScaler,Variance threshold,16,180948.319,0.898,0.787
69,RandomForestRegressor,"n_estimators=100, max_depth=30, min_samples_split=5, min_samples_leaf=5",RobustScaler,Variance threshold,16,181034.865,0.898,0.787
114,RandomForestRegressor,"n_estimators=150, max_depth=30, min_samples_split=5, min_samples_leaf=5",StandardScaler,Variance threshold,16,181104.335,0.898,0.787
115,RandomForestRegressor,"n_estimators=150, max_depth=30, min_samples_split=5, min_samples_leaf=5",MinMaxScaler,Variance threshold,16,181186.713,0.898,0.786
67,RandomForestRegressor,"n_estimators=100, max_depth=30, min_samples_split=5, min_samples_leaf=5",StandardScaler,Variance threshold,16,181299.729,0.898,0.786
68,RandomForestRegressor,"n_estimators=100, max_depth=30, min_samples_split=5, min_samples_leaf=5",MinMaxScaler,Variance threshold,16,181398.663,0.898,0.786
63,RandomForestRegressor,"n_estimators=100, max_depth=30, min_samples_split=5, min_samples_leaf=5",RobustScaler,Variance threshold,19,181869.169,0.907,0.785
61,RandomForestRegressor,"n_estimators=100, max_depth=30, min_samples_split=5, min_samples_leaf=5",StandardScaler,Variance threshold,19,181901.956,0.907,0.785
57,RandomForestRegressor,"n_estimators=100, max_depth=30, min_samples_split=5, min_samples_leaf=5",RobustScaler,Variance threshold,26,181987.015,0.907,0.784
54,RandomForestRegressor,"n_estimators=100, max_depth=30, min_samples_split=5, min_samples_leaf=5",RobustScaler,Variance threshold,30,181992.572,0.907,0.784
62,RandomForestRegressor,"n_estimators=100, max_depth=30, min_samples_split=5, min_samples_leaf=5",MinMaxScaler,Variance threshold,19,182006.766,0.907,0.784
55,RandomForestRegressor,"n_estimators=100, max_depth=30, min_samples_split=5, min_samples_leaf=5",StandardScaler,Variance threshold,26,182025.995,0.907,0.784
52,RandomForestRegressor,"n_estimators=100, max_depth=30, min_samples_split=5, min_samples_leaf=5",StandardScaler,Variance threshold,30,182047.974,0.907,0.784
110,RandomForestRegressor,"n_estimators=150, max_depth=30, min_samples_split=5, min_samples_leaf=5",RobustScaler,Variance threshold,19,182062.022,0.907,0.784
60,RandomForestRegressor,"n_estimators=100, max_depth=30, min_samples_split=5, min_samples_leaf=5",RobustScaler,Variance threshold,24,182068.465,0.907,0.784
108,RandomForestRegressor,"n_estimators=150, max_depth=30, min_samples_split=5, min_samples_leaf=5",StandardScaler,Variance threshold,19,182070.221,0.907,0.784
56,RandomForestRegressor,"n_estimators=100, max_depth=30, min_samples_split=5, min_samples_leaf=5",MinMaxScaler,Variance threshold,26,182121.694,0.907,0.784
53,RandomForestRegressor,"n_estimators=100, max_depth=30, min_samples_split=5, min_samples_leaf=5",MinMaxScaler,Variance threshold,30,182127.443,0.907,0.784
58,RandomForestRegressor,"n_estimators=100, max_depth=30, min_samples_split=5, min_samples_leaf=5",StandardScaler,Variance threshold,24,182128.434,0.907,0.784
109,RandomForestRegressor,"n_estimators=150, max_depth=30, min_samples_split=5, min_samples_leaf=5",MinMaxScaler,Variance threshold,19,182148.002,0.907,0.784
101,RandomForestRegressor,"n_estimators=150, max_depth=30, min_samples_split=5, min_samples_leaf=5",RobustScaler,Variance threshold,30,182149.495,0.908,0.784
107,RandomForestRegressor,"n_estimators=150, max_depth=30, min_samples_split=5, min_samples_leaf=5",RobustScaler,Variance threshold,24,182153.111,0.907,0.784
105,RandomForestRegressor,"n_estimators=150, max_depth=30, min_samples_split=5, min_samples_leaf=5",StandardScaler,Variance threshold,24,182171.324,0.907,0.784
59,RandomForestRegressor,"n_estimators=100, max_depth=30, min_samples_split=5, min_samples_leaf=5",MinMaxScaler,Variance threshold,24,182198.295,0.907,0.784
99,RandomForestRegressor,"n_estimators=150, max_depth=30, min_samples_split=5, min_samples_leaf=5",StandardScaler,Variance threshold,30,182202.607,0.908,0.784
104,RandomForestRegressor,"n_estimators=150, max_depth=30, min_samples_split=5, min_samples_leaf=5",RobustScaler,Variance threshold,26,182221.903,0.908,0.784
